Voter,Movie,Pick
Rachel Zegler,Eternal Sunshine of the Spotless Mind,2
Rachel Zegler,Finding Nemo,3
Rachel Zegler,Inside Llewyn Davis,4
Rachel Zegler,Invisible Life,5
Rachel Zegler,Lincoln,6
Rachel Zegler,Moonlight,7
Rachel Zegler,No Other Land,8
Rachel Zegler,Scott Pilgrim vs. the World,9
Rachel Zegler,West Side Story,10
Naomi Ackie,Blue Jasmine,1
Naomi Ackie,Django Unchained,2
Naomi Ackie,Eternal Sunshine of the Spotless Mind,3
Naomi Ackie,Her,4
Naomi Ackie,Moonlight,5
Naomi Ackie,Moonrise Kingdom,6
Naomi Ackie,Parasite,7
Naomi Ackie,Talk to Me,8
Naomi Ackie,The Dark Knight,9
Naomi Ackie,Triangle of Sadness,10
Uzo Aduba,Anatomy of a Fall,1
Uzo Aduba,Black Panther,2
Uzo Aduba,Dreamgirls,3
Uzo Aduba,Gosford Park,4
Uzo Aduba,Inception,5
Uzo Aduba,Memento,6
Uzo Aduba,Moonlight,7
Uzo Aduba,Spotlight,8
Uzo Aduba,The Departed,9
Uzo Aduba,Traffic,10
Casey Affleck,Apocalypto,1
Casey Affleck,City of God,2
Casey Affleck,Inside Llewyn Davis,3
Casey Affleck,Moneyball,4
Casey Affleck,No Country for Old Men,5
Casey Affleck,Ratatouille,6
Casey Affleck,Son of Saul,7
Casey Affleck,The Assassination of Jesse James by the Coward Robert Ford,8
Casey Affleck,The Lord of the Rings: The Return of the King,9
Casey Affleck,The Social Network,10
Ramin Bahrani,"4 Months, 3 Weeks and 2 Days",1
Ramin Bahrani,Crimson Gold,2
Ramin Bahrani,Grizzly Man,3
Ramin Bahrani,In the Mood for Love,4
Ramin Bahrani,Mulholland Drive,5
Ramin Bahrani,Secret Sunshine,6
Ramin Bahrani,Silent Light,7
Ramin Bahrani,The Gleaners &amp; I,8
Ramin Bahrani,The Tree of Life,9
Ramin Bahrani,Yi Yi,10
Sean Baker,"4 Months, 3 Weeks and 2 Days",1
Sean Baker,Dogville,2
Sean Baker,Import Export,3
Sean Baker,Morvern Callar,4
Sean Baker,Oasis,5
Sean Baker,Oldboy,6
Sean Baker,P'tit Quinquin,7
Sean Baker,Paradise: Faith,8
Sean Baker,Together,9
Sean Baker,Triangle of Sadness,10
Michael Barker,A Prophet,1
Michael Barker,Afsaid,2
Michael Barker,Bad Education,3
Michael Barker,"Crouching Tiger, Hidden Dragon",4
Michael Barker,I'm Still Here,5
Michael Barker,Locke,6
Michael Barker,Mystic River,7
Michael Barker,Punch-Drunk Love,8
Michael Barker,The Lives of Others,9
Michael Barker,Toni Erdmann,10
Judy Becker,A Fantastic Woman,1
Judy Becker,City of God,2
Judy Becker,I'm Not There,3
Judy Becker,Joker,4
Judy Becker,Let the Right One In,5
Judy Becker,The Brutalist,6
Judy Becker,The Nightingale,7
Judy Becker,The Tribe,8
Judy Becker,The Zone of Interest,9
Judy Becker,Under the Skin,10
Kate Berlant,Adaptation.,1
Kate Berlant,Borat,2
Kate Berlant,Brokeback Mountain,3
Kate Berlant,Fish Tank,4
Kate Berlant,Ghost World,5
Kate Berlant,Grizzly Man,6
Kate Berlant,Krisha,7
Kate Berlant,The Act of Killing,8
Kate Berlant,The Zone of Interest,9
Kate Berlant,There Will Be Blood,10
Tom Bernard,An Education,1
Tom Bernard,Bad Education,2
Tom Bernard,Blue Jasmine,3
Tom Bernard,Capote,4
Tom Bernard,"Crouching Tiger, Hidden Dragon",5
Tom Bernard,Moneyball,6
Tom Bernard,Rachel Getting Married,7
Tom Bernard,Searching for Sugar Man,8
Tom Bernard,The White Ribbon,9
Tom Bernard,Whiplash,10
Joel Kim Booster,Before Sunset,1
Joel Kim Booster,Bridesmaids,2
Joel Kim Booster,Children of Men,3
Joel Kim Booster,Everything Everywhere All at Once,4
Joel Kim Booster,Logan,5
Joel Kim Booster,Ocean's Eleven,6
Joel Kim Booster,Parasite,7
Joel Kim Booster,Rachel Getting Married,8
Joel Kim Booster,The Dark Knight,9
Joel Kim Booster,The Devil Wears Prada,10
Daniel Brühl,A Chiara,1
Daniel Brühl,A Prophet,2
Daniel Brühl,Another Round,3
Daniel Brühl,Boyhood,4
Daniel Brühl,Force Majeure,5
Daniel Brühl,In the Mood for Love,6
Daniel Brühl,No Country for Old Men,7
Daniel Brühl,Talk to Her,8
Daniel Brühl,The White Ribbon,9
Daniel Brühl,The Zone of Interest,10
Carter Burwell,Aftersun,1
Carter Burwell,Amour,2
Carter Burwell,Eternal Sunshine of the Spotless Mind,3
Carter Burwell,Moon,4
Carter Burwell,Moonlight,5
Carter Burwell,Mulholland Drive,6
Carter Burwell,Paprika,7
Carter Burwell,Spirited Away,8
Carter Burwell,Team America: World Police,9
Carter Burwell,The Lives of Others,10
Nuri Bilge Ceylan,About Endlessness,1
